,Cities,Country,Latitude,Date,Max. Temperature,Humidity,Cloudiness,Wind Speed
0,goderich,CA,43.74,9/7/2018,17.23,66,88,9.96
1,saldanha,PT,41.42,9/9/2018,16.48,80,48,1.76
2,qaanaaq,GL,77.48,9/8/2018,-1.53,100,0,3.21
3,baraki barak,AF,33.97,9/7/2018,21,49,0,1
4,kapaa,US,22.08,9/7/2018,28.9,79,40,5.1
5,hermanus,ZA,-34.42,9/10/2018,2.83,94,0,1.61
6,mandera,ET,3.94,9/10/2018,27.48,60,0,5.71
7,port alfred,ZA,-33.59,9/9/2018,13.48,100,76,4.31
8,inverness,GB,57.48,9/9/2018,12,81,40,7.2
9,kahului,US,20.89,9/9/2018,30.6,67,40,5.7
10,otane,NZ,-39.89,9/9/2018,5.08,70,0,1.76
11,rikitea,PF,-23.12,9/9/2018,22.38,100,56,5.91
12,cape town,ZA,-33.93,9/9/2018,12,81,0,2.6
13,barrow,AR,-38.31,9/9/2018,14.38,34,92,4.66
14,albany,US,42.65,9/9/2018,16.1,62,90,3.1
15,mahebourg,MU,-20.41,9/9/2018,21,68,20,5.7
16,sisimiut,GL,66.94,9/9/2018,2.38,95,92,1.21
17,lagoa,PT,37.14,9/9/2018,23,60,0,3.1
18,ushuaia,AR,-54.81,9/9/2018,8,65,40,5.7
19,tasiilaq,GL,65.61,9/9/2018,6,87,92,4.1
20,solnechnyy,RU,50.72,9/9/2018,3.98,54,0,3.11
21,longyearbyen,NO,78.22,9/9/2018,5,93,75,6.2
22,zarautz,ES,43.28,9/9/2018,22,83,20,0.5
23,buraydah,SA,26.33,9/9/2018,35,24,0,3.6
24,talnakh,RU,69.49,9/9/2018,1.48,100,80,1.66
25,hobart,AU,-42.88,9/9/2018,12,54,75,5.1
26,cidreira,BR,-30.17,9/9/2018,17.23,78,80,6.71
27,tiksi,RU,71.64,9/9/2018,1.88,100,92,6.71
28,castro,CL,-42.48,9/9/2018,13.03,64,12,1.11
29,leningradskiy,RU,69.38,9/9/2018,10.53,71,8,2.21
30,hay river,CA,60.82,9/9/2018,8,53,40,2.1
31,dzaoudzi,YT,-12.79,9/9/2018,25,78,20,2.6
32,nushki,PK,29.55,9/9/2018,15.28,32,0,1.16
33,bambous virieux,MU,-20.34,9/9/2018,21,73,20,3.6
34,punta arenas,CL,-53.16,9/9/2018,10,43,0,6.7
35,nantucket,US,41.28,9/9/2018,16.7,57,1,7.7
