,Media,Tweets Ago,Tweet,Compound,Positive,Negative,Neutral,Date
0,@CBS,1,"RT @PriceIsRight: We're thrilled to be back with all new, fun, and exciting shows!!  We hope to give you another award winning season! HERE…",0.9642,0.527,0.473,0.0,Mon Sep 17 22:01:52 +0000 2018
1,@CBS,2,RT @SalvationCBS: X marks the spot on the heart-stopping season finale of #SalvationCBS tonight at 9/8c on CBS &amp; CBS All Access: https://t.…,0.0,0.0,1.0,0.0,Mon Sep 17 21:41:20 +0000 2018
2,@CBS,3,Waiting for tonight's @Elementary_CBS season finale like https://t.co/Ou8342vGT9,0.3612,0.263,0.737,0.0,Mon Sep 17 19:18:37 +0000 2018
3,@CBS,4,"Due to an NFL overrun, the CBS Sunday lineup is delayed in the East/Central cities ONLY. New start times:… https://t.co/IypoJ0l16P",-0.2263,0.0,0.909,0.091,Sun Sep 16 23:48:59 +0000 2018
4,@CBS,5,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jGE7N https://t.co/co2528…,0.0,0.0,1.0,0.0,Sun Sep 16 14:33:46 +0000 2018
5,@CBS,6,"What happens when a PTA mom steals nearly $100,000 from her daughter's school? Don't miss the #PinkCollarCrimes sea… https://t.co/Gjiy0pByaE",-0.4322,0.07,0.771,0.159,Sat Sep 15 16:00:01 +0000 2018
6,@CBS,7,"RT @CBSAllAccess: No internet, no problem. You can now download and play your favorite shows on CBS All Access! 🙌 Learn how: https://t.co/y…",-0.2481,0.181,0.571,0.248,Fri Sep 14 18:22:59 +0000 2018
7,@CBS,8,@PlaggemeyLee Mac's putting something together. 😉 https://t.co/6ww5HlV6Bx,0.0,0.0,1.0,0.0,Thu Sep 13 20:52:06 +0000 2018
8,@CBS,9,This just in... https://t.co/QG3OYF6Rfv,0.0,0.0,1.0,0.0,Thu Sep 13 20:28:06 +0000 2018
9,@CBS,10,RT @CBSAllAccess: Get excited! Stream original #MurphyBrown episodes for a limited time on CBS All Access before the @MurphyBrownCBS reviva…,0.4753,0.218,0.699,0.083,Thu Sep 13 18:06:49 +0000 2018
10,@CBS,11,"This just in! The 54th #ACMawards will air LIVE from Las Vegas on Sunday, April 7, 2019 at 8/7c on CBS and… https://t.co/Q9e7qxe26l",0.0,0.0,1.0,0.0,Mon Sep 10 17:06:16 +0000 2018
11,@CBS,12,"Due to an NFL overrun, CBS is delayed 17 mins in the following markets: Kansas City, Miami, Tampa, NOLA, New York,… https://t.co/9eXZ9mA1Xb",-0.2263,0.0,0.917,0.083,Sun Sep 09 23:36:09 +0000 2018
12,@CBS,13,Are you ready for some football? 🏈 Stream your favorite NFL games LIVE on #CBSAllAccess today:… https://t.co/eHt8guHoyv,0.6705,0.282,0.718,0.0,Sun Sep 09 14:00:00 +0000 2018
13,@CBS,14,An unforgettable night of inspiring stories and performances highlighting the 10 years of impact #StandUpToCancer c… https://t.co/8bp2XNKwfH,0.4215,0.149,0.851,0.0,Sat Sep 08 16:20:43 +0000 2018
